ID,TITLE,THUMBNAIL1,THUMBNAIL2,THUMBNAIL3
cULQhvuq1Zc,Sweater Weather,https://i.ytimg.com/vi/cULQhvuq1Zc/default.jpg,https://i.ytimg.com/vi/cULQhvuq1Zc/mqdefault.jpg,https://i.ytimg.com/vi/cULQhvuq1Zc/hqdefault.jpg
3kaUvGSLMew,One More Light (Official Audio) - Linkin Park,https://i.ytimg.com/vi/3kaUvGSLMew/default.jpg,https://i.ytimg.com/vi/3kaUvGSLMew/mqdefault.jpg,https://i.ytimg.com/vi/3kaUvGSLMew/hqdefault.jpg
RZ14QTejsCQ,Video Games,https://i.ytimg.com/vi/RZ14QTejsCQ/default.jpg,https://i.ytimg.com/vi/RZ14QTejsCQ/mqdefault.jpg,https://i.ytimg.com/vi/RZ14QTejsCQ/hqdefault.jpg
8N2k-gv6xNE,Shania Twain - Any Man Of Mine (Official Music Video),https://i.ytimg.com/vi/8N2k-gv6xNE/default.jpg,https://i.ytimg.com/vi/8N2k-gv6xNE/mqdefault.jpg,https://i.ytimg.com/vi/8N2k-gv6xNE/hqdefault.jpg
9wVnoBQWU-E,Nightside of Siberia,https://i.ytimg.com/vi/9wVnoBQWU-E/default.jpg,https://i.ytimg.com/vi/9wVnoBQWU-E/mqdefault.jpg,https://i.ytimg.com/vi/9wVnoBQWU-E/hqdefault.jpg
Wna4zDioxQw,Venom of Venus,https://i.ytimg.com/vi/Wna4zDioxQw/default.jpg,https://i.ytimg.com/vi/Wna4zDioxQw/mqdefault.jpg,https://i.ytimg.com/vi/Wna4zDioxQw/hqdefault.jpg
4UcOODrEPpA,Demons Are a Girl's Best Friend,https://i.ytimg.com/vi/4UcOODrEPpA/default.jpg,https://i.ytimg.com/vi/4UcOODrEPpA/mqdefault.jpg,https://i.ytimg.com/vi/4UcOODrEPpA/hqdefault.jpg
WPtpymTlZtA,Alan Jackson - Freight Train (JF Jake Bounce Remix),https://i.ytimg.com/vi/WPtpymTlZtA/default.jpg,https://i.ytimg.com/vi/WPtpymTlZtA/mqdefault.jpg,https://i.ytimg.com/vi/WPtpymTlZtA/hqdefault.jpg
Pxp6_mCD_n8,Twotrees & Nicolaj - Go Deep,https://i.ytimg.com/vi/Pxp6_mCD_n8/default.jpg,https://i.ytimg.com/vi/Pxp6_mCD_n8/mqdefault.jpg,https://i.ytimg.com/vi/Pxp6_mCD_n8/hqdefault.jpg
jnVVX_RWCfE,TWO LANES - Transcend,https://i.ytimg.com/vi/jnVVX_RWCfE/default.jpg,https://i.ytimg.com/vi/jnVVX_RWCfE/mqdefault.jpg,https://i.ytimg.com/vi/jnVVX_RWCfE/hqdefault.jpg
sa9SiW57g6s,TRINIX - She Said (Big Jet Plane),https://i.ytimg.com/vi/sa9SiW57g6s/default.jpg,https://i.ytimg.com/vi/sa9SiW57g6s/mqdefault.jpg,https://i.ytimg.com/vi/sa9SiW57g6s/hqdefault.jpg
X5G9tIe84lE,Neon Trees - Everybody Talks,https://i.ytimg.com/vi/X5G9tIe84lE/default.jpg,https://i.ytimg.com/vi/X5G9tIe84lE/mqdefault.jpg,https://i.ytimg.com/vi/X5G9tIe84lE/hqdefault.jpg
zf2VYAtqRe0,Elvis Presley - Burning Love (Official Audio),https://i.ytimg.com/vi/zf2VYAtqRe0/default.jpg,https://i.ytimg.com/vi/zf2VYAtqRe0/mqdefault.jpg,https://i.ytimg.com/vi/zf2VYAtqRe0/hqdefault.jpg
7gwO8-oqwFw,The Rasmus - In the Shadows (Official Music Video),https://i.ytimg.com/vi/7gwO8-oqwFw/default.jpg,https://i.ytimg.com/vi/7gwO8-oqwFw/mqdefault.jpg,https://i.ytimg.com/vi/7gwO8-oqwFw/hqdefault.jpg
J46ohNSbX0g,VINAI - Rise Up (feat. Vamero) [Official Lyric Video],https://i.ytimg.com/vi/J46ohNSbX0g/default.jpg,https://i.ytimg.com/vi/J46ohNSbX0g/mqdefault.jpg,https://i.ytimg.com/vi/J46ohNSbX0g/hqdefault.jpg
orJSJGHjBLI,Ed Sheeran - Bad Habits [Official Video],https://i.ytimg.com/vi/orJSJGHjBLI/default.jpg,https://i.ytimg.com/vi/orJSJGHjBLI/mqdefault.jpg,https://i.ytimg.com/vi/orJSJGHjBLI/hqdefault.jpg
RbmS3tQJ7Os,The Rolling Stones - Gimme Shelter (Official Lyric Video),https://i.ytimg.com/vi/RbmS3tQJ7Os/default.jpg,https://i.ytimg.com/vi/RbmS3tQJ7Os/mqdefault.jpg,https://i.ytimg.com/vi/RbmS3tQJ7Os/hqdefault.jpg
ZXorliBQMxg,BANNERS - Start A Riot (Audio),https://i.ytimg.com/vi/ZXorliBQMxg/default.jpg,https://i.ytimg.com/vi/ZXorliBQMxg/mqdefault.jpg,https://i.ytimg.com/vi/ZXorliBQMxg/hqdefault.jpg
7xGxQXmu7Os,The Youngbloods - Get Together (Audio),https://i.ytimg.com/vi/7xGxQXmu7Os/default.jpg,https://i.ytimg.com/vi/7xGxQXmu7Os/mqdefault.jpg,https://i.ytimg.com/vi/7xGxQXmu7Os/hqdefault.jpg
jJu5-x567-I,Sleepaway Camp - Oh My Love,https://i.ytimg.com/vi/jJu5-x567-I/default.jpg,https://i.ytimg.com/vi/jJu5-x567-I/mqdefault.jpg,https://i.ytimg.com/vi/jJu5-x567-I/hqdefault.jpg
6E5m_XtCX3c,Ocean Man Lyrics,https://i.ytimg.com/vi/6E5m_XtCX3c/default.jpg,https://i.ytimg.com/vi/6E5m_XtCX3c/mqdefault.jpg,https://i.ytimg.com/vi/6E5m_XtCX3c/hqdefault.jpg
nTVCSri_gHQ,Declan McKenna - My House (Official Video),https://i.ytimg.com/vi/nTVCSri_gHQ/default.jpg,https://i.ytimg.com/vi/nTVCSri_gHQ/mqdefault.jpg,https://i.ytimg.com/vi/nTVCSri_gHQ/hqdefault.jpg
CXyopI2b77c,Timmy Trumpet & Krunk! - Al Pacino (Official Music Video),https://i.ytimg.com/vi/CXyopI2b77c/default.jpg,https://i.ytimg.com/vi/CXyopI2b77c/mqdefault.jpg,https://i.ytimg.com/vi/CXyopI2b77c/hqdefault.jpg
qJ19VKeDQbY,Twenty One Pilots - Saturday (Lyric Video),https://i.ytimg.com/vi/qJ19VKeDQbY/default.jpg,https://i.ytimg.com/vi/qJ19VKeDQbY/mqdefault.jpg,https://i.ytimg.com/vi/qJ19VKeDQbY/hqdefault.jpg
iFiNlLt8sJw,Linkin Park - Roads Untraveled,https://i.ytimg.com/vi/iFiNlLt8sJw/default.jpg,https://i.ytimg.com/vi/iFiNlLt8sJw/mqdefault.jpg,https://i.ytimg.com/vi/iFiNlLt8sJw/hqdefault.jpg
0_TgSAcAtuo,The Logical Song,https://i.ytimg.com/vi/0_TgSAcAtuo/default.jpg,https://i.ytimg.com/vi/0_TgSAcAtuo/mqdefault.jpg,https://i.ytimg.com/vi/0_TgSAcAtuo/hqdefault.jpg
L1ZqfjUcIg4,eVoid - Taximan,https://i.ytimg.com/vi/L1ZqfjUcIg4/default.jpg,https://i.ytimg.com/vi/L1ZqfjUcIg4/mqdefault.jpg,https://i.ytimg.com/vi/L1ZqfjUcIg4/hqdefault.jpg
qjd1QeuLPo4,Kilimanjaro - Johnny Clegg & Juluka,https://i.ytimg.com/vi/qjd1QeuLPo4/default.jpg,https://i.ytimg.com/vi/qjd1QeuLPo4/mqdefault.jpg,https://i.ytimg.com/vi/qjd1QeuLPo4/hqdefault.jpg
EGikhmjTSZI,Live is Life - Opus,https://i.ytimg.com/vi/EGikhmjTSZI/default.jpg,https://i.ytimg.com/vi/EGikhmjTSZI/mqdefault.jpg,https://i.ytimg.com/vi/EGikhmjTSZI/hqdefault.jpg
cF3OWCYLLVQ,Sultans Of Swing,https://i.ytimg.com/vi/cF3OWCYLLVQ/default.jpg,https://i.ytimg.com/vi/cF3OWCYLLVQ/mqdefault.jpg,https://i.ytimg.com/vi/cF3OWCYLLVQ/hqdefault.jpg
tbNlMtqrYS0,The Proclaimers - I'm Gonna Be (500 Miles) (Official Music Video),https://i.ytimg.com/vi/tbNlMtqrYS0/default.jpg,https://i.ytimg.com/vi/tbNlMtqrYS0/mqdefault.jpg,https://i.ytimg.com/vi/tbNlMtqrYS0/hqdefault.jpg
GbpnAGajyMc,Come On Eileen,https://i.ytimg.com/vi/GbpnAGajyMc/default.jpg,https://i.ytimg.com/vi/GbpnAGajyMc/mqdefault.jpg,https://i.ytimg.com/vi/GbpnAGajyMc/hqdefault.jpg
v_B3qkp4nO4,George Ezra - Shotgun (Official Lyric Video),https://i.ytimg.com/vi/v_B3qkp4nO4/default.jpg,https://i.ytimg.com/vi/v_B3qkp4nO4/mqdefault.jpg,https://i.ytimg.com/vi/v_B3qkp4nO4/hqdefault.jpg
g66ITKWEZMk,"LUM!X, Gabry Ponte - Monster (Robin Schulz Remix) [Lyrics] | monster how should I feel? tiktok",https://i.ytimg.com/vi/g66ITKWEZMk/default.jpg,https://i.ytimg.com/vi/g66ITKWEZMk/mqdefault.jpg,https://i.ytimg.com/vi/g66ITKWEZMk/hqdefault.jpg
YRNyamyBOIQ,Masked Wolf - Astronaut in the Ocean,https://i.ytimg.com/vi/YRNyamyBOIQ/default.jpg,https://i.ytimg.com/vi/YRNyamyBOIQ/mqdefault.jpg,https://i.ytimg.com/vi/YRNyamyBOIQ/hqdefault.jpg
W5b-a8Nzmag,HVME - GOOSEBUMPS (Official Video),https://i.ytimg.com/vi/W5b-a8Nzmag/default.jpg,https://i.ytimg.com/vi/W5b-a8Nzmag/mqdefault.jpg,https://i.ytimg.com/vi/W5b-a8Nzmag/hqdefault.jpg
LGfhStYcCZk,Liam Gallagher - Once (Lyric Video),https://i.ytimg.com/vi/LGfhStYcCZk/default.jpg,https://i.ytimg.com/vi/LGfhStYcCZk/mqdefault.jpg,https://i.ytimg.com/vi/LGfhStYcCZk/hqdefault.jpg
3gl5OEZ8j_o,Wes - Alane (Clip officiel),https://i.ytimg.com/vi/3gl5OEZ8j_o/default.jpg,https://i.ytimg.com/vi/3gl5OEZ8j_o/mqdefault.jpg,https://i.ytimg.com/vi/3gl5OEZ8j_o/hqdefault.jpg
TsbHYS-jzbY,Johnny Clegg & Juluka - December African Rain,https://i.ytimg.com/vi/TsbHYS-jzbY/default.jpg,https://i.ytimg.com/vi/TsbHYS-jzbY/mqdefault.jpg,https://i.ytimg.com/vi/TsbHYS-jzbY/hqdefault.jpg
lPx0n6X0d8g,Ofenbach & Quarterhead - Head Shoulders Knees & Toes (feat. Norma Jean Martine) [Lyric Video],https://i.ytimg.com/vi/lPx0n6X0d8g/default.jpg,https://i.ytimg.com/vi/lPx0n6X0d8g/mqdefault.jpg,https://i.ytimg.com/vi/lPx0n6X0d8g/hqdefault.jpg
ngdSBRQH35Q,Masked Wolf - Astronaut In The Ocean (Rock Cover by Our Last Night),https://i.ytimg.com/vi/ngdSBRQH35Q/default.jpg,https://i.ytimg.com/vi/ngdSBRQH35Q/mqdefault.jpg,https://i.ytimg.com/vi/ngdSBRQH35Q/hqdefault.jpg
1KdQvhlINIk,Stellar - El Dorado (Official Lyric Video),https://i.ytimg.com/vi/1KdQvhlINIk/default.jpg,https://i.ytimg.com/vi/1KdQvhlINIk/mqdefault.jpg,https://i.ytimg.com/vi/1KdQvhlINIk/hqdefault.jpg
kLkhKjR9_A8,Abandoned & InfiNoise - Night Caller (feat. Project Nightfall) [NCS Release],https://i.ytimg.com/vi/kLkhKjR9_A8/default.jpg,https://i.ytimg.com/vi/kLkhKjR9_A8/mqdefault.jpg,https://i.ytimg.com/vi/kLkhKjR9_A8/hqdefault.jpg
_fTWmUlTEqE,Subterranean Homesick Alien,https://i.ytimg.com/vi/_fTWmUlTEqE/default.jpg,https://i.ytimg.com/vi/_fTWmUlTEqE/mqdefault.jpg,https://i.ytimg.com/vi/_fTWmUlTEqE/hqdefault.jpg
xMCXZj5zwBE,Robin Hustin & Jessica Chertock - Burn it Down [NCS Release],https://i.ytimg.com/vi/xMCXZj5zwBE/default.jpg,https://i.ytimg.com/vi/xMCXZj5zwBE/mqdefault.jpg,https://i.ytimg.com/vi/xMCXZj5zwBE/hqdefault.jpg
3nQNiWdeH2Q,Janji - Heroes Tonight (feat. Johnning) [NCS Release],https://i.ytimg.com/vi/3nQNiWdeH2Q/default.jpg,https://i.ytimg.com/vi/3nQNiWdeH2Q/mqdefault.jpg,https://i.ytimg.com/vi/3nQNiWdeH2Q/hqdefault.jpg
SCD2tB1qILc,[DnB] - Tristam & Braken - Frame of Mind [Monstercat Release],https://i.ytimg.com/vi/SCD2tB1qILc/default.jpg,https://i.ytimg.com/vi/SCD2tB1qILc/mqdefault.jpg,https://i.ytimg.com/vi/SCD2tB1qILc/hqdefault.jpg
0BPu5m63_go,Imagine Dragons - Radioactive (Synchronice Remix) [Exclusive],https://i.ytimg.com/vi/0BPu5m63_go/default.jpg,https://i.ytimg.com/vi/0BPu5m63_go/mqdefault.jpg,https://i.ytimg.com/vi/0BPu5m63_go/hqdefault.jpg
