ID,TITLE,THUMBNAIL1,THUMBNAIL2,THUMBNAIL3
nIyyhTRhvk0,Cómo hacer un Angelito con perlas👼,https://i.ytimg.com/vi/nIyyhTRhvk0/default.jpg,https://i.ytimg.com/vi/nIyyhTRhvk0/mqdefault.jpg,https://i.ytimg.com/vi/nIyyhTRhvk0/hqdefault.jpg
Ju_l90DCpuE,"Diy video tutorial #orecchini #pendant #cercei ,,ORIENT EXPRES,,🥰🥰🥰",https://i.ytimg.com/vi/Ju_l90DCpuE/default.jpg,https://i.ytimg.com/vi/Ju_l90DCpuE/mqdefault.jpg,https://i.ytimg.com/vi/Ju_l90DCpuE/hqdefault.jpg
N2G9nmuwlWc,tutorial orecchini/earrings Circle #tutorial #superduo #bicone #seedbeads #chaton,https://i.ytimg.com/vi/N2G9nmuwlWc/default.jpg,https://i.ytimg.com/vi/N2G9nmuwlWc/mqdefault.jpg,https://i.ytimg.com/vi/N2G9nmuwlWc/hqdefault.jpg
DAs98G_iUJ4,Amazing Faux Boulder Opal from Polymer Clay. New Technique,https://i.ytimg.com/vi/DAs98G_iUJ4/default.jpg,https://i.ytimg.com/vi/DAs98G_iUJ4/mqdefault.jpg,https://i.ytimg.com/vi/DAs98G_iUJ4/hqdefault.jpg
hvU4lIBSSSY,Браслет из бисера и кристаллов (59)/Подробный Мастер Класс,https://i.ytimg.com/vi/hvU4lIBSSSY/default.jpg,https://i.ytimg.com/vi/hvU4lIBSSSY/mqdefault.jpg,https://i.ytimg.com/vi/hvU4lIBSSSY/hqdefault.jpg
9ihCyQF8-SM,tutorial anello Hasna #ring #superduo #seedbeads #pearls #chaton,https://i.ytimg.com/vi/9ihCyQF8-SM/default.jpg,https://i.ytimg.com/vi/9ihCyQF8-SM/mqdefault.jpg,https://i.ytimg.com/vi/9ihCyQF8-SM/hqdefault.jpg
Dvsn_Z_LEqA,"Mein Mann bittet 3 Mal pro Woche, dieses Kuchen zu kochen ! 😋Der leckerste Kuchen ! #244",https://i.ytimg.com/vi/Dvsn_Z_LEqA/default.jpg,https://i.ytimg.com/vi/Dvsn_Z_LEqA/mqdefault.jpg,https://i.ytimg.com/vi/Dvsn_Z_LEqA/hqdefault.jpg
WP2wfcA0fHE,DoubleRedTurn,https://i.ytimg.com/vi/WP2wfcA0fHE/default.jpg,https://i.ytimg.com/vi/WP2wfcA0fHE/mqdefault.jpg,https://i.ytimg.com/vi/WP2wfcA0fHE/hqdefault.jpg
jqcVkm6A3Xs,"Diy tutorial #pendant ,,ANGELS,, 👼👼 #angeli #înger #angelo",https://i.ytimg.com/vi/jqcVkm6A3Xs/default.jpg,https://i.ytimg.com/vi/jqcVkm6A3Xs/mqdefault.jpg,https://i.ytimg.com/vi/jqcVkm6A3Xs/hqdefault.jpg
xjIvSvr8d5o,Constellation Double-Sided Pendant (Christmas Ornament)- DIY Jewelry Making Tutorial by PotomacBeads,https://i.ytimg.com/vi/xjIvSvr8d5o/default.jpg,https://i.ytimg.com/vi/xjIvSvr8d5o/mqdefault.jpg,https://i.ytimg.com/vi/xjIvSvr8d5o/hqdefault.jpg
G-hHpvJpk68,Beaded bead bracelet tutorial.how to make bracelet.//DİY// Top bileklik yapımı,https://i.ytimg.com/vi/G-hHpvJpk68/default.jpg,https://i.ytimg.com/vi/G-hHpvJpk68/mqdefault.jpg,https://i.ytimg.com/vi/G-hHpvJpk68/hqdefault.jpg
