ID,TITLE,THUMBNAIL1,THUMBNAIL2,THUMBNAIL3
33VflUw5zoQ,"$49.5M mansion for sale includes stocked shark tank, 10-car garage | USA TODAY",https://i.ytimg.com/vi/33VflUw5zoQ/default.jpg,https://i.ytimg.com/vi/33VflUw5zoQ/mqdefault.jpg,https://i.ytimg.com/vi/33VflUw5zoQ/hqdefault.jpg
CzNm6Ni3x20,"Disney World's Star Wars Galactic Starcruiser: Food, activities, more | USA TODAY",https://i.ytimg.com/vi/CzNm6Ni3x20/default.jpg,https://i.ytimg.com/vi/CzNm6Ni3x20/mqdefault.jpg,https://i.ytimg.com/vi/CzNm6Ni3x20/hqdefault.jpg
wjAcxYsWNE0,How to get the most from your trip to Disney World | USA TODAY,https://i.ytimg.com/vi/wjAcxYsWNE0/default.jpg,https://i.ytimg.com/vi/wjAcxYsWNE0/mqdefault.jpg,https://i.ytimg.com/vi/wjAcxYsWNE0/hqdefault.jpg
bM_O7nMZUss,Entry into U.S. about to get more challenging for unvaccinated | Just the FAQs,https://i.ytimg.com/vi/bM_O7nMZUss/default.jpg,https://i.ytimg.com/vi/bM_O7nMZUss/mqdefault.jpg,https://i.ytimg.com/vi/bM_O7nMZUss/hqdefault.jpg
BRXw0brjPio,COVID-19 : Reporter details time on cruise ship with positive cases | USA TODAY,https://i.ytimg.com/vi/BRXw0brjPio/default.jpg,https://i.ytimg.com/vi/BRXw0brjPio/mqdefault.jpg,https://i.ytimg.com/vi/BRXw0brjPio/hqdefault.jpg
19Wl9o2YivQ,Jeff Bezos launches into space aboard the New Shepard Spacecraft | USA TODAY,https://i.ytimg.com/vi/19Wl9o2YivQ/default.jpg,https://i.ytimg.com/vi/19Wl9o2YivQ/mqdefault.jpg,https://i.ytimg.com/vi/19Wl9o2YivQ/hqdefault.jpg
ocLYI-5G908,Can't go to Tokyo for the Olympics? Here's how to experience Japanese culture in the US | USA TODAY,https://i.ytimg.com/vi/ocLYI-5G908/default.jpg,https://i.ytimg.com/vi/ocLYI-5G908/mqdefault.jpg,https://i.ytimg.com/vi/ocLYI-5G908/hqdefault.jpg
BpzzKcGKbtI,Bear safety : 4 tips to know before traveling into bear country | USA TODAY,https://i.ytimg.com/vi/BpzzKcGKbtI/default.jpg,https://i.ytimg.com/vi/BpzzKcGKbtI/mqdefault.jpg,https://i.ytimg.com/vi/BpzzKcGKbtI/hqdefault.jpg
3B5Xx5LpdWc,Top 5 'deadliest' national park sites | USA TODAY,https://i.ytimg.com/vi/3B5Xx5LpdWc/default.jpg,https://i.ytimg.com/vi/3B5Xx5LpdWc/mqdefault.jpg,https://i.ytimg.com/vi/3B5Xx5LpdWc/hqdefault.jpg
vPsubLw8V9s,Summer air travel: What to expect as pandemic restrictions loosen | USA Today,https://i.ytimg.com/vi/vPsubLw8V9s/default.jpg,https://i.ytimg.com/vi/vPsubLw8V9s/mqdefault.jpg,https://i.ytimg.com/vi/vPsubLw8V9s/hqdefault.jpg
vgxcBIpBXJA,5 National Parks you've probably never visited | USA Today,https://i.ytimg.com/vi/vgxcBIpBXJA/default.jpg,https://i.ytimg.com/vi/vgxcBIpBXJA/mqdefault.jpg,https://i.ytimg.com/vi/vgxcBIpBXJA/hqdefault.jpg
iLKzzrUo4zs,Disneyland's Avengers Campus opens with new attractions | USA TODAY,https://i.ytimg.com/vi/iLKzzrUo4zs/default.jpg,https://i.ytimg.com/vi/iLKzzrUo4zs/mqdefault.jpg,https://i.ytimg.com/vi/iLKzzrUo4zs/hqdefault.jpg
KCIYRr_Q9ME,Muslim woman claims discrimination by Southwest over hijab | USA TODAY,https://i.ytimg.com/vi/KCIYRr_Q9ME/default.jpg,https://i.ytimg.com/vi/KCIYRr_Q9ME/mqdefault.jpg,https://i.ytimg.com/vi/KCIYRr_Q9ME/hqdefault.jpg
-0_s85N4I-o,First peek at the new giant panda cub at the Smithsonian National Zoo in Washington | USA TODAY,https://i.ytimg.com/vi/-0_s85N4I-o/default.jpg,https://i.ytimg.com/vi/-0_s85N4I-o/mqdefault.jpg,https://i.ytimg.com/vi/-0_s85N4I-o/hqdefault.jpg
OD6shb_J8MQ,5 resorts with awesome astrotourism | USA TODAY,https://i.ytimg.com/vi/OD6shb_J8MQ/default.jpg,https://i.ytimg.com/vi/OD6shb_J8MQ/mqdefault.jpg,https://i.ytimg.com/vi/OD6shb_J8MQ/hqdefault.jpg
JI2J3PLWxZ4,History-making astronauts aboard the International Space Station discuss return to Earth | USA TODAY,https://i.ytimg.com/vi/JI2J3PLWxZ4/default.jpg,https://i.ytimg.com/vi/JI2J3PLWxZ4/mqdefault.jpg,https://i.ytimg.com/vi/JI2J3PLWxZ4/hqdefault.jpg
iPyb-MV2_T4,Macy's stages secret fireworks displays in NYC | USA TODAY,https://i.ytimg.com/vi/iPyb-MV2_T4/default.jpg,https://i.ytimg.com/vi/iPyb-MV2_T4/mqdefault.jpg,https://i.ytimg.com/vi/iPyb-MV2_T4/hqdefault.jpg
zTSZS-xLxQI,Disney's Food and Wine Festival is back | USA TODAY,https://i.ytimg.com/vi/zTSZS-xLxQI/default.jpg,https://i.ytimg.com/vi/zTSZS-xLxQI/mqdefault.jpg,https://i.ytimg.com/vi/zTSZS-xLxQI/hqdefault.jpg
zTSZS-xLxQI,Disney's Food and Wine Festival is back | USA TODAY,https://i.ytimg.com/vi/zTSZS-xLxQI/default.jpg,https://i.ytimg.com/vi/zTSZS-xLxQI/mqdefault.jpg,https://i.ytimg.com/vi/zTSZS-xLxQI/hqdefault.jpg
MBzLzueoMzY,U.S. Health and Human Services leaders discuss coronavirus | USA TODAY,https://i.ytimg.com/vi/MBzLzueoMzY/default.jpg,https://i.ytimg.com/vi/MBzLzueoMzY/mqdefault.jpg,https://i.ytimg.com/vi/MBzLzueoMzY/hqdefault.jpg
Vy21EuvgeyI,Take a look inside the new Space Needle | 10Best,https://i.ytimg.com/vi/Vy21EuvgeyI/default.jpg,https://i.ytimg.com/vi/Vy21EuvgeyI/mqdefault.jpg,https://i.ytimg.com/vi/Vy21EuvgeyI/hqdefault.jpg
