,ID,TITLE,THUMBNAIL1,THUMBNAIL2,THUMBNAIL3
0,qA3tJmfmTIc,Giggle Along with These Adorable Babies!,https://i.ytimg.com/vi/qA3tJmfmTIc/default.jpg,https://i.ytimg.com/vi/qA3tJmfmTIc/mqdefault.jpg,https://i.ytimg.com/vi/qA3tJmfmTIc/hqdefault.jpg
1,384BtgIjdvs,Ellen&#39;s Favorite Babies Laughing,https://i.ytimg.com/vi/384BtgIjdvs/default.jpg,https://i.ytimg.com/vi/384BtgIjdvs/mqdefault.jpg,https://i.ytimg.com/vi/384BtgIjdvs/hqdefault.jpg
2,LLWwPTFStAI,CUTE BABY ANIMALS | World&#39;s Cutest Video Series #1,https://i.ytimg.com/vi/LLWwPTFStAI/default.jpg,https://i.ytimg.com/vi/LLWwPTFStAI/mqdefault.jpg,https://i.ytimg.com/vi/LLWwPTFStAI/hqdefault.jpg
3,x04jgjQ_hLI,If Cute Babies Competed in the Olympic Games | Olympic Channel,https://i.ytimg.com/vi/x04jgjQ_hLI/default.jpg,https://i.ytimg.com/vi/x04jgjQ_hLI/mqdefault.jpg,https://i.ytimg.com/vi/x04jgjQ_hLI/hqdefault.jpg
4,_qiA-8ggNr0,Baby Dance | Funny Baby Video,https://i.ytimg.com/vi/_qiA-8ggNr0/default.jpg,https://i.ytimg.com/vi/_qiA-8ggNr0/mqdefault.jpg,https://i.ytimg.com/vi/_qiA-8ggNr0/hqdefault.jpg
5,4YpSGYnfmoM,Baby&#39;s Day | Funny Baby Activities Video And Zool Babies Picnic Video,https://i.ytimg.com/vi/4YpSGYnfmoM/default.jpg,https://i.ytimg.com/vi/4YpSGYnfmoM/mqdefault.jpg,https://i.ytimg.com/vi/4YpSGYnfmoM/hqdefault.jpg
6,ih1MhPit-Iw,Cute Baby Playing With Dogs Compilation - Baby Pets Video || JukinVideo,https://i.ytimg.com/vi/ih1MhPit-Iw/default.jpg,https://i.ytimg.com/vi/ih1MhPit-Iw/mqdefault.jpg,https://i.ytimg.com/vi/ih1MhPit-Iw/hqdefault.jpg
7,XhujYZghuKI,Ellen&#39;s Favorite Puppy Love Videos,https://i.ytimg.com/vi/XhujYZghuKI/default.jpg,https://i.ytimg.com/vi/XhujYZghuKI/mqdefault.jpg,https://i.ytimg.com/vi/XhujYZghuKI/hqdefault.jpg
8,83fE5YCpvbo,World&#39;s Cutest Baby Animals | BBC Earth,https://i.ytimg.com/vi/83fE5YCpvbo/default.jpg,https://i.ytimg.com/vi/83fE5YCpvbo/mqdefault.jpg,https://i.ytimg.com/vi/83fE5YCpvbo/hqdefault.jpg
9,ocjWFGIQr3s,"The Talking Twin Babies, Translated",https://i.ytimg.com/vi/ocjWFGIQr3s/default.jpg,https://i.ytimg.com/vi/ocjWFGIQr3s/mqdefault.jpg,https://i.ytimg.com/vi/ocjWFGIQr3s/hqdefault.jpg
10,_6-KvFkAvc0,When girls see a cute baby | Ashish Chanchlani,https://i.ytimg.com/vi/_6-KvFkAvc0/default.jpg,https://i.ytimg.com/vi/_6-KvFkAvc0/mqdefault.jpg,https://i.ytimg.com/vi/_6-KvFkAvc0/hqdefault.jpg
11,qUBUelAbaDI,Videos For Kids | TRIPLE TROUBLE - SUNNY BUNNIES | Cute Cartoons | Funny Videos For Kids,https://i.ytimg.com/vi/qUBUelAbaDI/default.jpg,https://i.ytimg.com/vi/qUBUelAbaDI/mqdefault.jpg,https://i.ytimg.com/vi/qUBUelAbaDI/hqdefault.jpg
12,Q-Eg4kIhWRY,Mom&#39;s dancing baby videos are giving us life | GMA Digital,https://i.ytimg.com/vi/Q-Eg4kIhWRY/default.jpg,https://i.ytimg.com/vi/Q-Eg4kIhWRY/mqdefault.jpg,https://i.ytimg.com/vi/Q-Eg4kIhWRY/hqdefault.jpg
13,NPQIJ8mXKlU,30 Funniest Cute Baby Compilation 😂😂😂 Fun and Fails Baby Video,https://i.ytimg.com/vi/NPQIJ8mXKlU/default.jpg,https://i.ytimg.com/vi/NPQIJ8mXKlU/mqdefault.jpg,https://i.ytimg.com/vi/NPQIJ8mXKlU/hqdefault.jpg
14,R0r6ySx1dZ0,Laughing Baby | Laughing Baby Song + More Nursery Rhymes &amp; Kids Songs | Learn with Little Baby Bum,https://i.ytimg.com/vi/R0r6ySx1dZ0/default.jpg,https://i.ytimg.com/vi/R0r6ySx1dZ0/mqdefault.jpg,https://i.ytimg.com/vi/R0r6ySx1dZ0/hqdefault.jpg
15,wFx72oaYFs0,Funniest Baby Fails Compilation 😬😬😬 Fun and Fails Baby Video,https://i.ytimg.com/vi/wFx72oaYFs0/default.jpg,https://i.ytimg.com/vi/wFx72oaYFs0/mqdefault.jpg,https://i.ytimg.com/vi/wFx72oaYFs0/hqdefault.jpg
16,NFKNCts1ARQ,Funny Kids Videos | Best of the Internet | LADbible,https://i.ytimg.com/vi/NFKNCts1ARQ/default.jpg,https://i.ytimg.com/vi/NFKNCts1ARQ/mqdefault.jpg,https://i.ytimg.com/vi/NFKNCts1ARQ/hqdefault.jpg
